[2026-04-01 05:08:13.079] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:08:18.178] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:08:22.832] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:08:28.529] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:08:34.488] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:08:42.102] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:08:48.838] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:08:54.913] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:09:02.101] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:09:09.229] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:09:15.954] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:09:23.375] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:09:31.391] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:09:38.946] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:09:46.372] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:09:54.311] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:10:02.557] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:10:10.658] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:10:18.506] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:10:26.945] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:10:35.627] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:10:44.150] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:10:52.275] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:11:01.072] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:11:09.441] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:11:18.954] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:11:26.612] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:11:35.068] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:11:43.682] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:11:52.782] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:12:01.047] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:12:11.424] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:12:19.461] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:12:28.414] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:12:37.480] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:12:46.686] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:12:56.680] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:13:05.519] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:13:13.803] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:13:23.555] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:13:32.749] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:13:41.663] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:13:50.893] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:14:00.058] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:14:09.567] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:14:18.920] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:14:29.138] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:14:37.976] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:14:47.243] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:14:56.956] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:15:06.201] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:15:15.710] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:15:25.446] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:15:34.890] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:15:44.702] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
[2026-04-01 05:15:53.915] [actian_vectorai] [info] [gRPC PointsImpl::Upsert] collection=ActianVectorAICollection, points=10000
